Antman_Wasp.srt,Ant-man and the Wasp,2010,Marvel,MCU
Avengers.Age.of.Ultron.2015.2160p.BluRay.Remux.eng.srt,Avengers: Age of Ultron,2010,Marvel,MCU
Batman.1.1989.srt,Batman,1980,DC,BatmanQuad
Batman.Begins.2005.srt,Batman Begins,2010,DC,BatmanNolan
Batman.Mask.of.the.Phantasm.1993.720p.BluRay.X264-AMIABLE.srt,Batman: Mask of the Phantasm,1990,DC,single
Batman.Returns.1992.srt,Batman Returns,1990,DC,BatmanTetr
Batman.and.Robin.1997.srt,Batman and Robin,1990,DC,BatmanTetr
Batman.v.Superman.Dawn.of.Justice.2016.EXTENDED.2160p.BluRay.Remux_eng.srt,Batman v Superman: Dawn of Justice,2010,DC,DCEU
Big.Hero.6.2014.1080p.BluRay.x264.YIFY.srt,Big Hero 6,2010,Marvel,single
BlackPanther.brrip.2018.1080p.txt,Black Panther,2010,Marvel,MCU
Blade.1998.iNTERNAL.DVDRip.x264-REGRET.srt,Blade,1990,Marvel,Blade
Blade.II.2002.BluRay.1080p.DTS-HD.MA.7.1.AVC.REMUX-FraMeSToR.srt,Blade 2,2000,Marvel,Blade
Blade.Trinity.2004.Unrated.BluRay.1080p.DTS-HD.MA.6.1.AVC.REMUX-FraMeSToR.srt,Blade: Trinity,2000,Marvel,Blade
Bulletproof.Monk.2003.720p.BluRay.AC3.x264-HDEVO.srt,Bulletproof Monk,2000,Image,single
Captain.America.1990.480p.BluRay.x264-mSD.en.srt,Captain America,1990,Marvel,single
Captain.America.Civil.War.2016.BDRip.X264-AMIABLE.srt,Captain America: Civil War,2010,Marvel,MCU
Captain.America.The.Winter.Soldier.2014.1080p.BluRay.x264.YIFY.srt,Captain America: The Winter Soldier,2010,Marvel,MCU
CaptainAmericaTheFirstAvenger.brrip.1080p.srt,Captain America: The First Avenger,2010,Marvel,MCU
Catwoman.srt,Catwoman,2000,DC,single
Constantine.2005.720p.BrRip.x264.YIFY.srt,Constantine,2000,DC,single
CrowII_en.srt,Crow 2,1990,Image,Crow
Daredevil.2003.Directors.Cut.1080p.Blu-ray.AVC.DTS-HD.MA.5.1_F1_T9_Subtitle - English_exp T1 en.srt,Daredevil,2003,DC,single
Deadpool.2.2018.Super.Duper.Cut.UNRATED.720p.BrRip.2CH.x265.HEVC-PSA.srt,Deadpool 2,2010,Marvel,Deadpool
Deadpool.2016.UHD.BluRay.2160p.TrueHD.Atmos.7.1.HEVC.REMUX-FraMeSToR.srt,Deadpool,2010,Marvel,Deadpool
Doctor.Strange.2016.HDTS.750MB.MkvCage.srt,Doctor Strange,2010,Marvel,MCU
Dredd.2012.2160p.BluRay.Remux_eng.srt,Dredd,2010,Fleetway Publications,single
Elektra_2005_ENG.srt,Elektra,2000,DC,single
Fantastic Four Rise of the Silver Surfer 2007 ViE mHD BluRay DD5.1 x264-TRiM.eng.srt,Fantastic Four: Rise of the Silver Surfer,2000,Marvel,F4
Fantastic Four_2015_29970_IMPROVED.srt,Fantastic Four (2015),2010,Marvel,single
FantasticFour.brrip.2005.1080p.srt,Fantastic Four (2005),2000,Marvel,F4
Gen13 (2000) TVRip KANEL.srt,Gen 13,2000,Image,single
Ghost Rider.srt,Ghost Rider,2000,Marvel,GhostRider
Ghost.Rider.Spirit.of.Vengeance.2012.3D.HSBS.Bluray.YIFY.srt,Ghost Rider: Spirit of Vengeance,2010,Marvel,GhostRider
Green.Lantern.2011.Extended.BluRay.1080p.5.1Ch.x264.Ganool.srt,Green Lantern,2010,DC,single
Guardians.of.The.Galaxy.2014.BDRip.x264-SPARKS.srt,Guardians of the Galaxy,2010,Marvel,MCU
Guardians.of.the.Galaxy.Vol.2.2017.BDRip.x264-SPARKS.srt,Guardians of the Galaxy Vol.2,2010,Marvel,MCU
Hellboy.2.The.Golden.Army.2008.iNTERNAL.BDRip.x264-TABULARiA.srt,Hellboy 2: The Golden Army,2000,Dark Horse,Hellboy
Hellboy.2004.REMUX.1080p.Bluray.AVC.DTS-HD.MA.5.1-LEGi0N.English.srt,Hellboy,2000,Dark Horse,Hellboy
Hulk 2003 BLURAY 720P-1080P MOVIEFULL-HD.COM.srt,Hulk,2000,Marvel,single
Iron Man 3 (2013).srt,Iron Man 3,2010,Marvel,MCU
Iron.Man.2.2010.2160p.BluRay.REMUX.HEVC.DTS-HD.MA.5.1-FGT.srt,Iron Man 2,2010,Marvel,MCU
IronMan.brrip.2008.1080p.srt,Iron Man,2000,Marvel,MCU
Jonah.Hex.2010.DvDrip.XviD-MXMG-[ subtitle-English ][ www.napisy.jcom.pl ].srt,Jonah Hex,2010,DC,single
Judge.Dredd.1995.1080p.BluRay.x264.DTS-FGT.eng.srt,Judge Dredd,1990,Fleetway Publications,single
Justice.League.2017.BDRip.x264-SPARKS.srt,Justice League,2010,DC,DCEU
